Fecha,Contagios,Muertos,Recuperados_tot,Recuperados,Activos,Muertos_tot,Contagios_tot,Activos_tot
2020-03-05,1,0,,,,0,1,
2020-03-06,1,0,0.0,0.0,1.0,0,2,2.0
2020-03-07,7,0,0.0,0.0,7.0,0,9,9.0
2020-03-08,3,0,0.0,0.0,3.0,0,12,12.0
2020-03-09,5,1,0.0,0.0,4.0,1,17,16.0
2020-03-10,2,0,0.0,0.0,2.0,1,19,18.0
2020-03-11,2,0,0.0,0.0,2.0,1,21,20.0
2020-03-12,10,0,0.0,0.0,10.0,1,31,30.0
2020-03-13,3,0,0.0,0.0,3.0,1,34,33.0
2020-03-14,11,1,0.0,0.0,10.0,2,45,43.0
2020-03-15,11,0,0.0,0.0,11.0,2,56,54.0
2020-03-16,9,0,0.0,0.0,9.0,2,65,63.0
2020-03-17,13,0,0.0,0.0,13.0,2,78,76.0
2020-03-18,19,0,0.0,0.0,19.0,2,97,95.0
2020-03-19,31,1,0.0,0.0,30.0,3,128,125.0
2020-03-20,30,0,0.0,0.0,30.0,3,158,155.0
2020-03-21,67,1,0.0,0.0,66.0,4,225,221.0
2020-03-22,40,0,0.0,0.0,40.0,4,265,261.0
2020-03-23,36,0,52.0,52.0,-16.0,4,301,245.0
2020-03-24,84,2,63.0,11.0,71.0,6,385,316.0
2020-03-25,117,2,72.0,9.0,106.0,8,502,422.0
2020-03-26,87,4,76.0,4.0,79.0,12,589,501.0
2020-03-27,101,5,78.0,2.0,94.0,17,690,595.0
2020-03-28,55,2,91.0,13.0,40.0,19,745,635.0
2020-03-29,75,1,228.0,137.0,-63.0,20,820,572.0
2020-03-30,146,4,240.0,12.0,130.0,24,966,702.0
2020-03-31,88,3,,,,27,1054,
